ID,GrossMonthlyIncome,CreditCardPayment,CarPayment,StudentLoanPayments,AppraisedValue,DownPayment,LoanAmount,MonthlyMortgagePayment,CreditScore,LTV,DTI,FEDTI
1,3103,317,374,250,268468,32216.16,236251.84,1127.9,778,0.88,0.58617467,0.363486948
2,2939,368,395,228,335467,30192.03,305274.97,2240,546,0.91,1.021776114,0.762164001
3,4676,222,352,368,461177,36894.16,424282.84,2277.64,736,0.92,0.609846022,0.487091531
4,8469,224,416,400,326904,22883.28,304020.72,1451.44,761,0.93,0.246952415,0.17138269
5,2406,497,385,444,472661,23633.05,449027.95,2987.39,615,0.95,1.60822527,1.241641729
6,9128,219,424,220,403922,117137.38,286784.62,1719.42,661,0.71,0.258810254,0.18836766
7,8717,249,363,395,365483,73096.6,292386.4,1232.71,811,0.8,0.211622118,0.141414477
8,8194,315,353,303,269907,72874.89,197032.11,1310.86,648,0.73,0.241501098,0.159978033
9,8582,261,435,204,248121,12406.05,235714.95,1265.37,742,0.95,0.228544628,0.147444652
10,8832,351,470,203,408375,20418.75,387956.25,2846.69,554,0.95,0.415272871,0.322315444
11,2829,254,368,412,472566,80336.22,392229.78,1872.56,780,0.83,0.881781548,0.661915871
12,7997,476,415,304,476901,100149.21,376751.79,2258.82,658,0.79,0.393875203,0.282458422
13,8815,381,355,358,447858,62700.12,385157.88,2067.61,733,0.86,0.318049915,0.234555871
14,4353,407,438,424,401394,76264.86,325129.14,2385.68,525,0.81,0.742173214,0.548054215
15,8909,419,422,449,390002,81900.42,308101.58,2260.74,569,0.79,0.348158042,0.25375912
16,9580,399,399,385,285104,37063.52,248040.48,1331.53,706,0.87,0.222289144,0.138990605
17,4030,341,420,205,465246,55829.52,409416.48,3004.15,574,0.88,0.934280397,0.74544665
18,7012,366,475,406,413464,70288.88,343175.12,2518.1,570,0.83,0.4790502,0.359112949
19,3519,288,449,271,241549,67633.72,173915.28,1276.13,532,0.72,0.572074453,0.362639955
20,4450,471,468,230,484448,92045.12,392402.88,1873.39,771,0.81,0.631997753,0.420986517
21,2862,444,362,434,499329,79892.64,419436.36,2514.73,695,0.84,1.160283019,0.878661775
22,4168,322,439,369,442517,123904.76,318612.24,2337.86,574,0.72,0.743488484,0.56090691
23,5472,314,443,379,310350,27931.5,282418.5,2072.29,650,0.91,0.517048611,0.378707968
24,6748,311,426,296,342326,54772.16,287553.84,2109.97,533,0.84,0.42189834,0.312680794
25,3060,300,411,404,387148,19357.4,367790.6,1974.38,732,0.95,0.877575163,0.645222222
26,8350,490,434,377,432555,38929.95,393625.05,2888.28,592,0.91,0.456560479,0.345901796
27,2527,232,377,322,313293,56392.74,256900.26,1885.04,585,0.82,0.986956866,0.745959636
28,5236,337,367,240,283298,70824.5,212473.5,1413.59,639,0.75,0.404428953,0.269975172
29,7993,392,360,381,412215,20610.75,391604.25,2102.22,729,0.95,0.357089954,0.263007632
30,6461,295,381,395,239093,57382.32,181710.68,1089.45,666,0.76,0.273247175,0.168619409
31,6296,255,465,362,329293,69151.53,260141.47,1096.77,812,0.79,0.288559403,0.17420108
32,7057,348,439,422,297387,14869.35,282517.65,2073.01,501,0.95,0.405272779,0.293752303
33,6828,274,361,215,473699,123161.74,350537.26,1673.52,798,0.74,0.338096075,0.245096661
34,3138,486,374,441,374944,89986.56,284957.44,1895.83,615,0.76,0.878212237,0.604152326
35,9391,282,479,378,364140,43696.8,320443.2,1529.84,794,0.88,0.243939942,0.162904909
36,2280,251,440,275,322941,35523.51,287417.49,1723.21,687,0.89,1.058864035,0.75579386
37,2948,487,438,240,455446,45544.6,409901.4,2200.44,723,0.9,1.060189959,0.74641791
38,8158,339,368,309,243152,46198.88,196953.12,1057.29,707,0.81,0.216265016,0.129601618
39,6888,483,479,260,460899,87570.81,373328.19,2238.29,664,0.81,0.464618177,0.324954994
40,5898,420,383,229,237732,54678.36,183053.64,1217.86,636,0.77,0.342634791,0.206486945
41,6836,438,451,250,349490,97857.2,251632.8,1846.39,522,0.72,0.400144822,0.270098011
42,2004,338,447,297,286237,71559.25,214677.75,1575.23,586,0.75,1.177759481,0.786042914
43,9018,433,455,253,307261,15363.05,291897.95,1566.97,710,0.95,0.272229984,0.173760257
44,2096,279,386,380,465616,116404,349212,1667.19,795,0.75,1.112686069,0.795415076
45,9876,496,388,325,322165,38659.8,283505.2,1699.76,678,0.88,0.261620089,0.172110166
46,4922,334,433,351,269467,48504.06,220962.94,1621.35,556,0.82,0.48523974,0.329408777
47,4310,431,466,362,438470,65770.5,372699.5,2000.73,732,0.85,0.672327146,0.464206497
48,4701,420,434,210,341408,30726.72,310681.28,1483.24,766,0.91,0.497179324,0.315515848
49,7641,340,469,286,291836,26265.24,265570.76,1948.66,541,0.91,0.360903023,0.255026829
50,3460,410,465,428,271147,67786.75,203360.25,1091.68,745,0.75,0.568404624,0.315514451
51,2532,308,459,286,451273,67690.95,383582.05,2814.59,576,0.85,1.414530016,1.111607425
52,2746,219,408,242,430821,86164.2,344656.8,2066.39,659,0.8,0.980841224,0.752509104
53,8811,316,391,363,315497,44169.58,271327.42,1626.74,674,0.86,0.264866644,0.184626036
54,2824,361,403,424,396207,95089.68,301117.32,1805.35,693,0.76,0.909826487,0.639288244
55,6239,221,467,293,239831,64754.37,175076.63,1284.65,586,0.73,0.316180478,0.205906395
56,9076,405,379,316,462570,46257,416313,2769.74,625,0.9,0.391553548,0.305171882
57,7093,366,421,243,294303,61803.63,232499.37,1546.82,633,0.79,0.329031439,0.218076977
58,5780,468,459,407,440180,70428.8,369751.2,2713.1,546,0.84,0.629775087,0.469394464
59,7589,313,402,216,358911,46658.43,312252.57,2291.2,515,0.87,0.396125972,0.30191066
60,9852,230,376,303,429903,77382.54,352520.46,2345.33,634,0.82,0.299566585,0.238056232
61,2638,418,403,323,298247,17894.82,280352.18,1680.85,653,0.94,0.948388931,0.637168309
62,3138,293,460,232,284459,17067.54,267391.46,1127.33,842,0.94,0.599212874,0.359251115
63,7597,301,463,378,422126,42212.6,379913.4,1813.76,755,0.9,0.339312887,0.238746874
64,7296,365,478,324,367543,102912.04,264630.96,1760.6,639,0.72,0.35685307,0.241310307
65,9393,327,351,396,492711,137959.08,354751.92,2360.17,619,0.72,0.323450442,0.25126903
66,3192,305,472,403,258932,23303.88,235628.12,1264.9,716,0.91,0.639692982,0.39627193
67,7969,293,497,235,279250,80982.5,198267.5,1188.71,654,0.71,0.248300916,0.149166771
68,9814,288,446,342,367849,44141.88,323707.12,1545.43,775,0.88,0.232263094,0.157471979
69,4689,243,466,346,250049,32506.37,217542.63,1038.58,773,0.87,0.372697803,0.221492856
70,7562,475,416,277,324348,64869.6,259478.4,1903.96,539,0.8,0.369605924,0.251779952
71,8139,349,425,438,466044,69906.6,396137.4,1891.22,796,0.85,0.327462833,0.232365155
